date_daily,year,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,path,path_intra_wide,dffr1_intra_wide,dffr1_intra_wide,DNY2_long,DNY3M,DNY6M,DNY1,DNY2,DNY3,DNY5,DNY10,DNF1,DNF2,DNF3,DNF5,DNF10,DRY2,DRY3,DRY5,DRY10,DRF2,DRF3,DRF5,DRF10,path_m,stratRF3,Dbkeveny2,Dbkeveny3,Dbkeveny5,Dbkeveny10,DIF2,DIF3,DIF5,DIF10
11apr2000,2000,0,-.0078904,0,0,-.0049973,-.0049973,.0283883,.0034974,-.0078904,-.0078904,.0406003,-.02,.02,.0189996,,,.0880003,.1021004,.0352998,,,.1293998,.1013999,,,.0069001,-.0032001,,,-.0039001,-.0132,,0,,,.0811,.1052999,,,.1332998,.1145999
12apr2000,2000,0,0,.0049973,-.0100021,-.0149994,-.0149994,.0088463,.0008388,0,0,.0310001,0,-.04,.0095,,,.0846,.0792999,.0353003,,,.1244998,.0310998,,,.0259001,.0327001,,,.0375004,.0316999,,0,,,.0587001,.0466001,,,.0869994,-.0006001
18apr2000,2000,0,0,0,-.0049973,-.0100021,-.0049973,.0102732,.0029295,0,0,.0097003,-.01,-.04,-.0064001,,,.0193,.007,.0128002,,,.0137,-.0204,,,.0075998,.0079,,,.02,0,,0,,,.0117002,-.0009,,,-.0063,-.0204
19apr2000,2000,0,0,-.0062466,.0049973,.0100021,.0149994,.0149351,.0093173,0,0,-.0012002,0,.01,.0121999,,,-.0535002,-.0910997,.0046,,,-.1216998,-.1212001,,,-.0154998,-.0133998,,,-.0257998,-.0020001,,0,,,-.0380001,-.0777001,,,-.0959001,-.1192
25apr2000,2000,0,.0049973,.0049973,.0100021,.0049973,.015007,.0831829,.0122162,.0049973,.0049973,.1169,-.01,.01,.0798001,,,.1532998,.0988002,.1221995,,,.1357002,-.0233998,,,.0213001,.0140002,,,.0160003,.0030999,,0,,,.132,.0848,,,.1197,-.0264997
26apr2000,2000,0,.0049973,.00501,-.0100021,-.0149994,-.0149994,.0151359,.0015554,.0049973,.0049973,.0299001,-.04,.01,.0215998,,,.0079002,.0046,.0508003,,,-.0137,.0151,,,-.0008001,.0002999,,,.0077,-.0032001,,0,,,.0087001,.0043001,,,-.0214,.0183001
02may2000,2000,0,0,.0107247,-.0100021,-.0099945,0,.010551,.0045772,0,0,.0054002,-.08,-.03,.0166998,,,.0220003,.0580001,.0088,,,.0735998,.0966001,,,.0355,.0020001,,,.0011001,-.0327001,,0,,,-.0135,.056,,,.0724998,.1293001
03may2000,2000,0,-.0055327,.0095564,.0149994,.0149994,.0149994,.0474901,.0139927,-.0055327,-.0055327,.0267,-.01,.01,.0287004,,,.0625997,.0988998,.0102,,,.1186004,.1364002,,,.0098,.0114,,,.0146999,.0091002,,0,,,.0528002,.0875001,,,.1039004,.1273
09may2000,2000,0,.0070416,-.0050049,.0050049,.0050049,.0049973,-.0168384,.008488,.0070416,.0070416,-.0211,-.05,-.06,-.0099001,,,-.0363002,-.0457001,-.0212998,,,-.0497999,-.0569,,,.0404,.0331001,,,.0321999,.0204,,0,,,-.0767,-.0788,,,-.0819998,-.0773001
10may2000,2000,0,0,0,.0100021,.0049973,.0100021,-.0146943,.0099556,0,0,-.0225,0,0,.0102,,,-.0653996,-.0788999,.0023999,,,-.0817003,-.0984998,,,.0029001,-.0035,,,-.0124998,-.0093,,0,,,-.0683,-.0753999,,,-.0692005,-.0891998
