year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1,gs1,gs10,sven5f5,bkeven05,exp_gdp_12m,exp_cpi_12m,us_cpi,us_ip,logsp500,us_gdpdef,us_rgdp,ebpnew,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50,ea_ip_excl_constr,hicp,stoxx50,ea_bbb_oas_all_fred,ea_rgdp,ea_gdpdef,de1y_haver
1985,9,,,,,,,,,,8.0699997,10.37,11.087742,,,,468.30566,403.85007,521.64435,405.20459,891.13397,.2097,,,,,,,,,,,,
1985,10,,,,,,,,,,8.0100002,10.24,10.960168,,,,468.67502,403.43823,522.6665,405.38019,892.7038,.2617,,,,,,,,,,,,
1985,11,,,,,,,,,,7.8800001,9.7799997,10.536263,,,,469.1348,403.7746,528.66833,405.59314,892.50714,.25330001,,,,,,,,,,,,
1985,12,,,,,,,,,,7.6700001,9.2600002,10.102366,,,,469.59247,404.82202,533.39392,405.79919,892.17969,.032400001,,,,,,,,,,,,
1986,1,,,,,,,,,,7.73,9.1899996,9.9528618,,,,469.95709,405.27496,533.90521,406.04761,892.65442,.27070001,,,,,,,,,,,,
1986,2,,,,,,,,,,7.6100001,8.6999998,9.426074,,,,469.77493,404.60416,539.08282,406.09579,893.88824,-.1864,,,,,,,,,,,,
1986,3,,,,,,,,,,7.0300002,7.7800002,8.3487854,,,,469.2265,403.91559,544.95062,406.09714,893.56366,.58410001,,,,,,,,,,,,
1986,4,,,,,,,,,,6.4400001,7.3000002,7.7541771,,,,468.85919,403.99377,547.21753,406.20349,893.98907,.5406,,,,,,,,,,,,
1986,5,,,,,,,,,,6.6500001,7.71,8.1775236,,,,469.1348,404.19629,547.49084,406.46689,893.50897,.0328,,,,,,,,,,,,
1986,6,,,,,,,,,,6.73,7.8000002,8.4281521,,,,469.5011,403.85269,550.24585,406.75854,893.9281,.073899999,,,,,,,,,,,,
1986,7,,,,,,,,,,6.27,7.3000002,8.1365137,,,,469.59247,404.40491,548.34882,406.74255,894.64648,.69260001,,,,,,,,,,,,
1986,8,,,,,,,,,,5.9299998,7.1700001,8.1290474,,,,469.68375,404.27127,550.11981,406.8259,894.69879,.65649998,,,,,,,,,,,,
1986,9,,,,,,,,,,5.77,7.4499998,8.5850573,,,,470.04803,404.47235,547.61951,407.07428,895.09198,.29890001,,,,,,,,,,,,
1986,10,,,,,,,,,,5.7199998,7.4299998,8.6153774,,,,470.22968,404.92462,546.95618,407.26874,895.83435,.51099998,,,,,,,,,,,,
1986,11,,,,,,,,,,5.8000002,7.25,8.3436832,,,,470.41101,405.39218,550.23859,407.44965,894.78101,.60720003,,,,,,,,,,,,
1986,12,,,,,,,,,,5.8699999,7.1100001,8.1338634,,,,470.77267,406.21759,551.54883,407.58972,895.35858,.62889999,,,,,,,,,,,,
1987,1,,,,,,,,,,5.7800002,7.0799999,8.0261898,,,,471.31274,405.90161,557.40381,407.92108,894.84332,.47850001,,,,,,,,,,,,
1987,2,,,,,,,,,,5.96,7.25,8.0978422,,,,471.67114,407.18091,563.7901,408.18097,896.35712,.5248,,,,,,,,,,,,
1987,3,,,,,,,,,,6.0300002,7.25,8.0043955,,,,472.02829,407.34647,567.83667,408.37622,896.88318,.38909999,,,,,,,,,,,,
1987,4,,,,,,,,,,6.5,8.0200005,8.7055473,,,,472.47293,407.99347,566.71625,408.61905,897.07507,-.34490001,,,,,,,,,,,,
1987,5,,,,,,,,,,7,8.6099997,9.1104002,,,,472.73877,408.62619,566.56799,408.7991,897.20203,.15710001,,,,,,,,,,,,
1987,6,,,,,,,,,,6.8000002,8.3999996,8.9649773,,,,473.1803,409.09988,570.83179,409.06461,897.2038,.1224,,,,,,,,,,,,
1987,7,,,,,,,,,,6.6799998,8.4499998,9.1137638,,,,473.44424,409.79248,573.61444,409.24838,897.55859,.2483,,,,,,,,,,,,
1987,8,,,,,,,,,,7.0300002,8.7600002,9.3509045,,,,473.88266,410.61841,579.71454,409.55606,897.7431,.2445,,,,,,,,,,,,
1987,9,,,,,,,,,,7.6700001,9.4200001,9.9973526,,,,474.23199,410.88736,576.38477,409.84875,898.85547,.25929999,,,,,,,,,,,,
1987,10,,,,,,,,,,7.5900002,9.5200005,9.9438238,,,,474.49323,412.32056,563.53979,410.15436,899.14075,-.82870001,,,,,,,,,,,,
1987,11,,,,,,,,,,6.96,8.8599997,9.3867102,,,,474.84042,412.86011,550.11145,410.37653,899.54352,.1486,,,,,,,,,,,,
1987,12,,,,,,,,,,7.1700001,8.9899998,9.6777229,,,,475.01361,413.34692,548.66046,410.59384,900.38458,-.1002,,,,,,,,,,,,
1988,1,,,,,,,,,,6.9899998,8.6700001,9.5057478,,,,475.35901,413.38971,552.27191,410.93649,899.55164,-.31510001,,,,,,,,,,,,
1988,2,,,,,,,,,,6.6399999,8.21,9.2115946,,,,475.53128,413.82147,555.33636,411.11905,899.91699,.1068,,,,,,,,,,,,
1988,3,,,,,,,,,,6.71,8.3699999,9.3859959,,,,475.78912,414.06253,558.26233,411.41702,901.19067,-.1543,,,,,,,,,,,,
1988,4,,,,,,,,,,7.0100002,8.7200003,9.6962748,,,,476.38818,414.61224,557.00043,411.79391,901.07581,-.070799999,,,,,,,,,,,,
1988,5,,,,,,,,,,7.4000001,9.0900002,9.9633617,,,,476.64383,414.50424,554.51721,412.08041,901.57129,-.0074999998,,,,,,,,,,,,
1988,6,,,,,,,,,,7.4899998,8.9200001,9.5526505,,,,477.06845,414.76373,560.09473,412.48526,901.9433,.071199998,,,,,,,,,,,,
1988,7,,,,,,,,,,7.75,9.0600004,9.7740002,,,,477.4913,414.81302,559.53784,412.96436,901.59558,-.229,,,,,,,,,,,,
