date,r2y_prem,r3y_prem,r4y_prem,r5y_prem,r6y_prem,r7y_prem,r8y_prem,r9y_prem,r10y_prem,r11y_prem
9/16/2008,1.43111719,1.769556152,1.937248485,2.04265586,2.123847965,2.19452738,2.259458757,2.319999266,2.376294491,2.428175217
9/17/2008,1.442065236,1.801044956,1.983779275,2.097680051,2.182182186,2.252739344,2.31553688,2.372899371,2.425571208,2.473733232
9/18/2008,1.484674264,1.828623066,2.004880694,2.116349929,2.200434332,2.271485025,2.335061514,2.393158904,2.44637587,2.494853305
9/19/2008,1.297832065,1.558715753,1.706148909,1.817516569,1.915279152,2.005156814,2.088060688,2.163778813,2.232097044,2.293076111
9/22/2008,1.265215716,1.53823947,1.698064106,1.820446613,1.92707109,2.023590457,2.111181959,2.18999129,2.260146136,2.322000417
9/23/2008,1.442977206,1.756941463,1.926369028,2.045496359,2.14396038,2.231012419,2.309414997,2.379914981,2.44276953,2.498252779
9/24/2008,1.529276752,1.883778676,2.067684471,2.191063933,2.289231749,2.373839312,2.448795826,2.515412287,2.574214485,2.625596387
9/25/2008,1.513935573,1.849027724,2.025808456,2.146793848,2.244780803,2.330358298,2.40688899,2.475384212,2.536206909,2.589664064
9/26/2008,1.557586193,1.917959357,2.105551873,2.22919463,2.325637205,2.40785128,2.480533535,2.545363867,2.602983031,2.653764136
9/29/2008,1.691233605,2.118088887,2.327780916,2.452614513,2.540548662,2.610441022,2.670067768,2.722582667,2.76920291,2.810409229
9/30/2008,1.691314749,2.145878908,2.378630016,2.521166629,2.62219915,2.701604585,2.768062734,2.825422829,2.875406105,2.918851957
10/1/2008,1.774325303,2.273110087,2.522041503,2.668179887,2.766989259,2.84168089,2.902637095,2.954528959,2.999419826,3.038242557
10/2/2008,1.718339819,2.224355914,2.478639505,2.629593257,2.732377791,2.810010033,2.872912687,2.925908549,2.971236943,3.0099949
