date,FOMCmeeting,unscheduled,twodays,IsConfCall,weirdOct87ConfCall,minutes,statement,pressconference
3/18/2008,1,0,0,0,0,,1,0
4/30/2008,1,0,1,0,0,,1,0
6/25/2008,1,0,1,0,0,,1,0
7/24/2008,1,1,0,0,0,,0,0
8/5/2008,1,0,0,0,0,,1,0
9/16/2008,1,0,0,0,0,,1,0
9/29/2008,1,1,0,0,0,,0,0
10/7/2008,1,1,0,0,0,,1,0
10/29/2008,1,0,1,0,0,,1,0
12/16/2008,1,0,1,0,0,,1,0
1/16/2009,1,1,0,0,0,,0,0
1/28/2009,1,0,1,0,0,,1,0
2/7/2009,1,1,0,0,0,,0,0
3/18/2009,1,0,1,0,0,,1,0
4/29/2009,1,0,1,0,0,,1,0
6/3/2009,1,1,0,0,0,,0,0
6/24/2009,1,0,1,0,0,,1,0
8/12/2009,1,0,1,0,0,,1,0
9/23/2009,1,0,1,0,0,,1,0
11/4/2009,1,0,1,0,0,,1,0
12/16/2009,1,0,1,0,0,,1,0
1/27/2010,1,0,1,0,0,,1,0
3/16/2010,1,0,0,0,0,,1,0
4/28/2010,1,0,1,0,0,,1,0
5/9/2010,1,1,0,0,0,,1,0
6/23/2010,1,0,1,0,0,,1,0
8/10/2010,1,0,0,0,0,,1,0
9/21/2010,1,0,0,0,0,,1,0
10/15/2010,1,1,0,0,0,,0,0
11/3/2010,1,0,1,0,0,,1,0
12/14/2010,1,0,0,0,0,,1,0
1/26/2011,1,0,1,0,0,,1,0
3/15/2011,1,0,0,0,0,,1,0
4/27/2011,1,0,1,0,0,,1,1
6/22/2011,1,0,1,0,0,,1,1
8/1/2011,1,1,0,0,0,,0,0
8/9/2011,1,0,0,0,0,,1,0
9/21/2011,1,0,1,0,0,,1,0
11/2/2011,1,0,1,0,0,,1,1
11/28/2011,1,1,0,0,0,,0,0
12/13/2011,1,0,0,0,0,,1,0
1/25/2012,1,0,1,0,0,,1,1
3/13/2012,1,0,0,0,0,,1,0
4/25/2012,1,0,1,0,0,,1,1
6/20/2012,1,0,1,0,0,,1,1
8/1/2012,1,0,1,0,0,,1,0
9/13/2012,1,0,1,0,0,,1,1
10/24/2012,1,0,1,0,0,,1,0
12/12/2012,1,0,1,0,0,,1,1
1/30/2013,1,0,1,0,0,,1,0
3/20/2013,1,0,1,0,0,,1,1
5/1/2013,1,0,1,0,0,,1,0
6/19/2013,1,0,1,0,0,,1,1
7/31/2013,1,0,1,0,0,,1,0
9/18/2013,1,0,1,0,0,,1,1
10/16/2013,1,1,0,0,0,,0,0
10/30/2013,1,0,1,0,0,,1,0
12/18/2013,1,0,1,0,0,,1,1
1/29/2014,1,0,1,0,0,,1,0
3/4/2014,1,1,0,0,0,,0,0
3/19/2014,1,0,1,0,0,,1,1
4/30/2014,1,0,1,0,0,,1,0
6/18/2014,1,0,1,0,0,,1,1
7/30/2014,1,0,1,0,0,,1,0
9/17/2014,1,0,1,0,0,,1,1
10/29/2014,1,0,1,0,0,,1,0
12/17/2014,1,0,1,0,0,,1,1
