date,tightwin,widewin,daywin,tbd1,tbd2,isintermeeting,orelease,tgtfactor,pathfactor,FOMCstatt
2/1/1995,6.2,6.2,5.2,-1,0,,,7.8,5.5,1
3/28/1995,-1,0,0,1,1,,,5.3,2.2,
5/23/1995,0,0,0,0,0,,,2.2,-0.3,
7/6/1995,-11.2,-7.4,-1.2,9.9,3.7,,,-8.7,-38.4,1
8/22/1995,3.4,3.4,0,-3.4,0,,,4.7,9,
9/26/1995,3,4,4,1,1,,,5.5,9.7,
11/15/1995,4,5,6,2,1,,,3.9,3.6,
12/19/1995,-9,-10.3,-10.3,-1.3,-1.3,,,-6.5,4.8,1
1/31/1996,-3,-3,-7,-4,0,,,-0.2,-2.4,1
3/26/1996,1,1,1,0,0,,,1.6,4,
5/21/1996,0,0,0,0,0,,,2.7,3.8,
7/3/1996,-7.2,-6.6,-5,2.2,0.6,,,-3,5.3,
8/20/1996,-2.8,-2.8,-4.2,-1.4,0,,,0.8,5.2,
9/24/1996,-12,-12,-13,-1,0,,,-10.6,0.4,
11/13/1996,-1.8,-1.8,0,1.8,0,,,1.6,-2.4,
12/17/1996,1.1,0,1.1,0,-1.1,,,3.1,-1,
2/5/1997,-3.7,-3,-3,0.6,0.6,,,-0.6,9,
3/25/1997,4,4,4,0,0,,,6.5,9.6,1
5/20/1997,-9.9,-9.9,-11.3,-1.4,0,,,-8.3,2.1,
7/2/1997,-2.1,-1.1,-1.6,0.5,1.1,,,1.4,2.3,
8/19/1997,0,0,-1.3,-1.3,0,,,2.6,3.3,
9/30/1997,0,0,0,0,0,,,2.1,0.8,
11/12/1997,-4.2,-4.2,-4.2,0,0,,,0.2,-2.6,
12/16/1997,0,0,-1,-1,0,,,1.8,-0.4,
2/4/1998,0,0,0,0,0,,,1.9,5.4,
3/31/1998,-1,-1,0,1,0,,,1.1,2.6,
5/19/1998,-2.6,-2.6,-2.6,0,0,,,0.2,0.5,
7/1/1998,-0.5,-0.5,-0.5,0,0,,,3.6,0.4,
8/18/1998,1.2,1.2,1.2,0,0,,,3.1,-0.9,
9/29/1998,5,6,6,1,1,,,9.4,-5.3,1
10/15/1998,-24.2,-24.2,-20.3,3.9,0,1,,-24,-22.6,1
11/17/1998,-6.9,-5.8,-5.8,1.2,1.2,,,1.3,1.4,1
12/22/1998,0,-1.7,-1.7,-1.7,-1.7,,,2.9,-0.3,
2/3/1999,0.6,0.6,0,-0.6,0,,,2.7,2.2,
3/30/1999,-1,0,0,1,1,,,1.5,-4.1,
5/18/1999,-1.2,-1.2,-3.6,-2.4,0,,,0.5,32.8,1
6/30/1999,-3,-4,-4,-1,-1,,,-2.1,-16.2,1
8/24/1999,3.5,3,3,-0.5,-0.5,,,5.7,-5.8,1
10/5/1999,-4.2,-4.2,-4.2,0,0,,,-2.7,25.8,1
11/16/1999,7.5,9.6,8.6,1.1,2.1,,,11.9,3.8,1
12/21/1999,1.6,1.6,1.6,0,0,,,2.4,9.3,1
2/2/2000,-5.9,-5.9,-5.4,0.5,0,,,-2,9,1
3/21/2000,-4.7,-4.7,-3.1,1.6,0,,,2.5,2.3,1
5/16/2000,4.1,3.1,5.2,1,-1,,,7.4,4.9,1
6/28/2000,-2.5,-2,-2,0.5,0.5,,,-0.2,-2.1,1
8/22/2000,-1.7,0,-1.7,0,1.7,,,0.8,8.1,1
10/3/2000,0,-0.6,0,0,-0.6,,,1.4,12.7,1
11/15/2000,-1,-1,0,1,0,,,2.7,2.2,1
12/19/2000,6.5,6.5,5.2,-1.3,0,,,7.5,-3.9,1
1/3/2001,-39.3,-36.5,-38.2,1.1,2.8,1,,-32.3,22.8,1
1/31/2001,3.5,4,0.5,-3,0.5,,,8.2,-12.5,1
3/20/2001,7.1,5.6,5.6,-1.4,-1.4,,,-2.3,-13.5,1
4/18/2001,-43.8,-46.3,-42.5,1.3,-2.5,1,,-48.5,-3.2,1
5/15/2001,-9.7,-7.8,-7.8,1.9,1.9,,,-8.6,-15.7,1
6/27/2001,10.5,11,8.5,-2,0.5,,,11.8,2.3,1
8/21/2001,1.6,1.6,1.6,0,0,,,2.9,-9.7,1
9/17/2001,.,.,.,.,.,1,,.,.,1
10/2/2001,-3.7,-3.7,-7,-3.2,0,,,-1.8,-6.4,1
11/6/2001,-15,-15,-10,5,0,,,-12.7,-15.7,1
12/11/2001,-0.8,0,0,0.8,0.8,,,1.9,-18.1,1
1/30/2002,2.5,1.5,1.5,-1,-1,,,4.2,3.6,1
3/19/2002,-2.6,-2.6,-2.6,0,0,,,-0.3,-11.7,1
5/7/2002,0.7,0.7,0,-0.7,0,,,3.5,-11.4,1
6/26/2002,0,0,-2,-2,0,,,2.4,2.3,1
8/13/2002,4.3,4.3,3.4,-0.9,0,,,8.1,-37.2,1
9/24/2002,2,2.5,2,0,0.5,,,3.8,-5.6,1
11/6/2002,-20,-18.8,-19.4,0.6,1.3,,,-16.3,7.2,1
12/10/2002,0,0,0,0,0,,,1.9,7,1
1/29/2003,1,0.5,0.5,-0.5,-0.5,,,3.5,10.4,1
3/18/2003,2.4,3.6,4.8,2.4,1.2,,,2.9,-2.4,1
5/6/2003,3.7,3.7,3.7,0,0,,,5.2,-27,1
6/25/2003,13.5,12.5,12.5,-1,-1,,,14.4,10.6,1
8/12/2003,0,0,0,0,0,,,3.7,-11.9,1
9/16/2003,1.1,1.1,0,-1.1,0,,,3.4,-1.3,1
10/28/2003,-0.5,-0.5,0,0.5,0,,,3.9,-24.4,1
12/9/2003,0,0,0,0,0,,,0.2,13.9,1
1/28/2004,0.5,0,0,-0.5,-0.5,,,-1.1,42.7,1
3/16/2004,0,0,0,0,0,,,4.1,-17.8,1
5/4/2004,-1.2,-1.2,-0.6,0.6,0,,,0.9,5.1,1
6/30/2004,-0.5,-1.5,-1,-0.5,-1,,,0.4,-1.7,1
8/10/2004,0.7,1.5,2.2,1.5,0.7,,,4.3,7.5,1
9/21/2004,0,0,1.7,1.7,0,,,2.5,-2.9,1
11/10/2004,-0.8,0,0,0.8,0.8,,,3,-7.6,1
12/14/2004,-0.9,0,0,0.9,0.9,,,1.7,-1.8,1
