year,month,day,FOMCused,dffr1_tick_wide_scaled,dffr2_tick_wide_scaled,ded2_tick_wide,ded3_tick_wide,ded4_tick_wide,DNY1
1996,2,9,0,-.007246,.0100021,-.0100021,.0100021,0,-.0197997
1996,2,12,0,0,-.0100021,.0100021,-.0100021,-.0100021,-.0236001
1996,2,13,0,.0090575,0,0,.0100021,0,-.0195003
1996,2,14,0,.0096614,.0100139,.0100021,.0099945,.0100021,.0132003
1996,2,15,0,.0207187,.0092367,0,.0199966,0,-.0030003
1996,2,16,0,-.0223125,.0246977,.0299988,.0600052,.0800018,.0104003
1996,2,20,0,-.0161023,.0371001,.0699997,.1500015,.1399994,.2205
1996,2,21,0,.018115,-.0156164,-.0100021,.0100021,0,.0615997
1996,2,22,0,.0100021,-.0309157,-.0100021,-.0099945,.0100021,-.0742998
1996,2,23,0,0,.0285775,-.0200043,-.0200043,-.0299988,-.0001001
1996,2,26,0,.0100021,-.0050011,-.0100021,-.0299988,-.0299988,.0446
1996,2,27,0,0,.0315857,.0299988,.0400009,.0500031,.0574999
1996,2,28,0,0,.0666555,.0400009,.0599976,.0500031,.0424004
1996,2,29,0,.0100021,-.0499954,0,0,0,.0374999
1996,3,1,0,0,0,0,0,.0199966,-.0911002
1996,3,4,0,.0057463,.0155674,-.0099945,-.0100021,-.0199966,-.0421996
1996,3,5,0,.0059583,.0410542,.0199966,.0199966,.0200043,.0382996
1996,3,6,0,-.0124026,-.005835,-.0100021,.0199966,.0299988,.0490003
1996,3,7,0,0,.2249908,0,0,0,.0387001
1996,3,8,0,0,0,.0200043,.0099945,-.0100021,.2309999
1996,3,11,0,.0077457,-.0100021,0,-.0199966,-.0200043,.0264001
1996,3,12,0,.0244727,0,-.0100021,-.0100021,-.0100021,.0167999
1996,3,13,0,0,.0100021,0,.0100021,0,-.0156002
1996,3,14,0,.0182392,.0099945,0,.0099945,0,-.0036001
1996,3,15,0,-.0387435,-.0100021,.0100021,.0299988,.0299988,.0751004
1996,3,18,0,.0238331,.0095332,-.0200043,-.0099945,-.0200043,.0173998
1996,3,19,0,.0129096,-.0115741,0,0,-.0099945,-.0075998
1996,3,20,0,.0140832,-.0125827,-.0200043,-.0400009,-.0400009,-.0510001
1996,3,21,0,-.0154915,-.0086847,-.0100021,.0100021,-.0100021,-.0040002
1996,3,22,0,-.0516646,.0021494,.0100021,0,-.0100021,-.0225
1996,3,25,0,-.0100021,-.0099919,-.0200043,-.0100021,-.0199966,-.0207
1996,3,26,1,.0199966,-.0109863,.0199966,.0400009,.0299988,-.0051999
1996,3,27,0,-.0100021,.0490468,.0100021,.0100021,.0299988,.0448003
1996,3,28,0,.0100021,.0100021,-.0200043,.0099945,0,.0320997
1996,3,29,0,.0100021,-.0264762,0,.0100021,.0199966,-.0268998
1996,4,1,0,.0051775,-.0242182,0,-.0100021,0,.0005999
1996,4,2,0,.0053542,-.0057111,0,.0100021,.0099945,-.0124998
1996,4,3,0,-.0055525,.0067423,-.0100021,-.0099945,-.0099945,.0120997
1996,4,4,0,-.0115409,.0209835,-.0100021,0,-.0100021,.0002999
1996,4,5,0,-.0180084,.0068111,.0499954,.0599976,.0699997,.2120004
1996,4,8,0,.0068144,.0177943,-.0199966,0,-.0299988,.0077996
1996,4,9,0,-.0071389,.0205244,-.0100021,.0099945,.0100021,-.0214996
1996,4,10,0,.0150032,0,0,.0100021,.0099945,-.0024004
1996,4,11,0,0,-.0099945,.0100021,0,.0100021,.0132003
1996,4,12,0,0,-.0100021,0,.0100021,.0199966,-.0567002
1996,4,15,0,-.0099945,0,-.0100021,-.0100021,-.0100021,-.0527997
1996,4,16,0,0,0,0,.0099945,.0100021,-.0108004
1996,4,17,0,0,0,-.0100021,-.0100021,0,.0154004
1996,4,18,0,.0125122,-.0134659,-.0099945,-.0200043,-.0199966,.0163999
1996,4,19,0,0,0,0,0,-.0200043,-.026
1996,4,22,0,0,0,.0100021,0,.0099945,-.0339999
1996,4,23,0,0,0,-.0099945,-.0100021,0,.0099001
1996,4,24,0,0,0,.0100021,.0100021,0,.0054998
1996,4,25,0,0,-.0157928,-.0199966,-.0299988,-.0099945,.0033002
1996,4,26,0,0,0,.0099945,.0100021,.0099945,-.0055003
1996,4,29,0,0,0,0,.0099945,.0100021,.0376
1996,4,30,0,0,-.018754,-.0100021,0,.0100021,.0518003
1996,5,1,0,0,.0230819,-.0200043,0,-.0199966,.0100999
1996,5,2,0,0,-.0249863,0,.0099945,.0100021,.0777998
1996,5,3,0,-.0055327,-.0450007,.0299988,.0100021,.0299988,.0014
1996,5,6,0,0,-.0300064,-.0100021,-.0100021,-.0100021,-.0163999
1996,5,7,0,0,0,.0099945,0,0,.0008998
1996,5,8,0,0,-.0099945,-.0100021,-.0100021,-.0200043,.0273004
1996,5,9,0,0,0,.0100021,.0100021,.0099945,-.0266004
1996,5,10,0,0,.0100021,.0099945,.0100021,0,-.0411997
1996,5,13,0,.0086195,.0100021,0,0,.0100021,-.0351
1996,5,14,0,0,0,0,.0100021,.0100021,-.0226002
1996,5,15,0,0,.0103355,.0100021,0,0,.0042
1996,5,16,0,0,0,.0100021,-.0100021,-.0199966,.0257001
1996,5,17,0,0,-.0110738,.0100021,0,0,-.0092001
1996,5,20,0,.0140832,-.0027083,.0099945,.0100021,0,-.0205998
1996,5,21,1,.030983,.0077542,.0299988,.0199966,.0300064,-.0026002
1996,5,22,0,-.0172128,.0070416,0,-.0100021,-.0099945,.0033998
1996,5,23,0,-.0193644,.0239862,0,.0100021,.0100021,.0015001
1996,5,24,0,0,0,0,0,-.0199966,.0124002
1996,5,28,0,-.0100021,.0063171,.0199966,-.0100021,0,-.0019999
1996,5,29,0,-.0100021,.009377,.0199966,.0599976,.0500031,.0651999
1996,5,30,0,-.0200043,.0213379,.0100021,.0100021,.0100021,.0462999
1996,5,31,0,.0100021,-.034293,-.0100021,0,-.0100021,.0086002
1996,6,3,0,-.0055525,-.0400144,0,.0099945,-.0100021,.0488
1996,6,4,0,-.0057661,-.0167093,.0100021,.0100021,-.0099945,-.0136003
