year,month,eureon3m_hf,stoxx50_hf,deurinflswap2y_d,pmnegm_eureon3mstoxx50,pmposm_eureon3mstoxx50
2013,3,.001000002,.51201487,-.0055,0,.001000002
2013,4,0,-.64183569,-.028000001,0,0
2013,5,-.0064999983,.1169008,-.050999999,-.0064999983,0
2013,6,.0050000027,-.64858878,-.0049999999,.0050000027,0
2013,7,-.0099999979,1.4433802,.048999999,-.0099999979,0
2013,8,.0040000007,.074964762,-.016000001,0,.0040000007
2013,9,-.00099998713,.0053284243,-.011000001,-.00099998713,0
2013,10,.0025000051,-.13809697,-.0049999999,.0025000051,0
2013,11,-.00049999356,.563227,-.0089999996,-.00049999356,0
2013,12,.0085000023,-.40713343,-.026000001,.0085000023,0
2014,1,-2.9802322e-08,-.31723607,-.024,0,-2.9802322e-08
2014,2,.027499989,.16062182,-.021,0,.027499989
2014,3,.035499975,-.51545781,-.017999999,.035499975,0
2014,4,.016499981,.73022687,.025,0,.016499981
2014,5,.0059999824,.48802441,-.0020000001,0,.0059999824
2014,6,-.026000002,.67129815,.0010000002,-.026000002,0
2014,7,-.0029999912,.58273995,-.0089999996,-.0029999912,0
2014,8,0,-.17562956,-.030999999,0,0
2014,9,-.046500001,1.2426894,.0275,-.046500001,0
2014,10,.0029999986,-1.5781308,-.032000002,.0029999986,0
2014,11,-.0014999993,1.1350328,.0012000001,-.0014999993,0
2014,12,-.0019999999,-2.0050874,-.0044999998,0,-.0019999999
2015,1,.0010499991,.62797844,.057500001,0,.0010499991
2015,2,0,0,0,0,0
2015,3,-.019000001,.011363421,.068000004,-.019000001,0
2015,4,.0013999939,.15396813,.016000001,0,.0013999939
2015,5,0,0,0,0,0
2015,6,-.00024999678,-.56629401,.0080000004,0,-.00024999678
2015,7,-.00014999509,.044011723,-.018999999,-.00014999509,0
2015,8,0,0,0,0,0
2015,9,-.00025001168,1.1172966,.041999999,-.00025001168,0
2015,10,-.0092999935,2.2137396,.046999998,-.0092999935,0
2015,11,0,0,0,0,0
2015,12,.069650009,-3.6974473,-.0145,.069650009,0
2016,1,-.011149973,-.49807855,.013,0,-.011149973
2016,2,0,0,0,0,0
2016,3,.033650011,1.2403595,-.017999999,0,.033650011
2016,4,.00049996376,-.17365825,.0255,.00049996376,0
2016,5,0,0,0,0,0
2016,6,-.00029999018,-.59343702,-.0070000002,0,-.00029999018
2016,7,-.01275,.14088069,.0020000001,-.01275,0
2016,8,0,0,0,0,0
2016,9,.010050029,-.87531543,.0099999998,.010050029,0
2016,10,.000099986792,.30096775,-.013,0,.000099986792
2016,11,0,0,0,0,0
2016,12,.00079998374,.73286086,.032000002,0,.00079998374
