year,month,ff4_hf,sp500_hf,dbkeven02_d,usstocks1_hf,pc1ff1_hf,pmnegm_ff4sp500,pmposm_ff4sp500,pmnegm_pc1ff1usstocks1,pmposm_pc1ff1usstocks1
2005,9,.029999999,-.12166,-.029600143,-.093125314,.044277754,.029999999,0,.044277754,0
2005,10,0,0,0,0,0,0,0,0,0
2005,11,0,.24188,-.057800055,.10836887,.025985787,0,0,0,.025985787
2005,12,-.0049999999,.48447999,.00040006638,.23145702,-.0040245545,-.0049999999,0,-.0040245545,0
2006,1,.025,-.28159001,.071099997,-.1623847,.051677514,.025,0,.051677514,0
2006,2,0,0,0,0,0,0,0,0,0
2006,3,.029999999,-.64595002,.026599884,-.39754373,.073150493,.029999999,0,.073150493,0
2006,4,0,0,0,0,0,0,0,0,0
2006,5,.035,-.15511,.038100004,-.14349332,.075892329,.035,0,.075892329,0
2006,6,-.025,.49364999,.064800024,.24557573,-.024653127,-.025,0,-.024653127,0
2006,7,0,0,0,0,0,0,0,0,0
2006,8,-.035,-.26456001,.022300005,-.21877581,-.025704235,0,-.035,0,-.025704235
2006,9,0,-.24016,-.052100062,-.18408456,.033110213,0,0,.033110213,0
2006,10,-.0049999999,-.039889999,.037200093,-.074787743,.0081592333,0,-.0049999999,.0081592333,0
2006,11,0,0,0,0,0,0,0,0,0
2006,12,-.0049999999,.28273001,-.012700081,.11063092,-.015745651,-.0049999999,0,-.015745651,0
2007,1,-.0049999999,.52272999,.0032000542,.20362331,.0084792124,-.0049999999,0,0,.0084792124
2007,2,0,0,0,0,0,0,0,0,0
2007,3,-.01501,.88762999,.013200045,.43840328,-.070116676,-.01501,0,-.070116676,0
2007,4,0,0,0,0,0,0,0,0,0
2007,5,.0049999999,-.1418,-.0046999454,-.10625944,.056310099,.0049999999,0,.056310099,0
2007,6,0,-.28916001,.006300211,-.22694772,.029055858,0,0,.029055858,0
2007,7,0,0,0,0,0,0,0,0,0
2007,8,-.025,-.95973003,.15690005,-.59398705,.023530621,0,-.025,.023530621,0
2007,9,-.17,1.3305399,.032000065,.75031424,-.20169875,-.17,0,-.20169875,0
2007,10,.029999999,-.44209,.091700077,-.25967965,.088669293,.029999999,0,.088669293,0
2007,11,0,0,0,0,0,0,0,0,0
2007,12,.029999999,-1.59674,-.04429996,-.93917882,.059167828,.029999999,0,.059167828,0
2008,1,-.255,-.16869,,-.063061535,-.26599324,0,-.255,0,-.26599324
2008,2,0,0,0,0,0,0,0,0,0
