year,period,eureon3m_hf,stoxx50_hf,MPshockSign,CBIshockSign,MPshockPoorman,CBIshockPoorman
2013,12,0.008500002,-0.407133415,0.015404361,-0.006904359,0.008500002,0
2014,1,-2.98E-08,-0.317236062,0.008691399,-0.008691429,0,-2.98E-08
2014,2,0.027499989,0.160621816,0.009349389,0.0181506,0,0.027499989
2014,3,0.035499975,-0.515457802,0.031872142,0.003627831,0.035499975,0
2014,4,0.016499981,0.730226852,-0.01175626,0.028256241,0,0.016499981
2014,5,0.005999982,0.488024414,-0.010370564,0.016370546,0,0.005999982
2014,6,-0.026000002,0.671298124,-0.031391762,0.005391761,-0.026000002,0
2014,7,-0.002999991,0.582739934,-0.017465502,0.01446551,-0.002999991,0
2014,8,0,-0.175629556,0.004811777,-0.004811777,0,0
2014,9,-0.046500001,1.242689371,-0.057296343,0.010796343,-0.046500001,0
2014,10,0.002999999,-1.578130841,0.044736538,-0.041736539,0.002999999,0
2014,11,-0.001499999,1.135032743,-0.03184684,0.030346842,-0.001499999,0
2014,12,-0.002,-2.005087405,0.053933997,-0.055933997,0,-0.002
2015,1,0.001049999,0.627978444,-0.01667992,0.017729919,0,0.001049999
2015,2,0,0,0,0,0,0
2015,3,-0.019000001,0.011363421,-0.009811328,-0.009188674,-0.019000001,0
2015,4,0.001399994,0.153968129,-0.003518315,0.004918309,0,0.001399994
2015,5,0,0,0,0,0,0
2015,6,-0.000249997,-0.566294,0.015389933,-0.015639929,0,-0.000249997
2015,7,-0.000149995,0.044011723,-0.0012808,0.001130805,-0.000149995,0
2015,8,0,0,0,0,0,0
2015,9,-0.000250012,1.117296554,-0.030735925,0.030485913,-0.000250012,0
2015,10,-0.009299994,2.213739716,-0.065300509,0.056000512,-0.009299994,0
2015,11,0,0,0,0,0,0
2015,12,0.069650009,-3.697447419,0.13612512,-0.066475101,0.069650009,0
2016,1,-0.011149973,-0.498078555,0.008071026,-0.019220999,0,-0.011149973
2016,2,0,0,0,0,0,0
2016,3,0.033650011,1.240359485,-0.017157506,0.050807517,0,0.033650011
2016,4,0.000499964,-0.173658252,0.00500775,-0.004507787,0.000499964,0
2016,5,0,0,0,0,0,0
2016,6,-0.00029999,-0.593437031,0.016108582,-0.016408572,0,-0.00029999
2016,7,-0.01275,0.140880693,-0.010234752,-0.002515248,-0.01275,0
2016,8,0,0,0,0,0,0
2016,9,0.010050029,-0.875315398,0.0290063,-0.018956272,0.010050029,0
2016,10,9.99868E-05,0.300967753,-0.008195713,0.0082957,0,9.99868E-05
2016,11,0,0,0,0,0,0
2016,12,0.000799984,0.732860863,-0.019678423,0.020478407,0,0.000799984
