year,period,ff4_hf,sp500_hf,MPshockSign,CBIshockSign,MPshockPoorman,CBIshockPoorman
2004,9,-.01,.06393,-.0084894057,-.0015105938,-.0099999998,0
2004,10,0,0,0,0,0,0
2004,11,-.00999,.08411,-.0095858639,-.00040413576,-.0099900002,0
2004,12,-.005,.05833,-.005683749,.0006837488,-.0049999999,0
2005,1,0,0,0,0,0,0
2005,2,0,.00504,-.00027509162,.00027509162,0,0
2005,3,.01,-.28511,.020561781,-.01056178,.0099999998,0
2005,4,0,0,0,0,0,0
2005,5,.01,.32116,-.01252945,.022529449,0,.0099999998
2005,6,.015,-.42657,.030782903,-.015782902,.015,0
2005,7,0,0,0,0,0,0
2005,8,-.01,.23399,-.017771564,.0077715651,-.0099999998,0
2005,9,.03,-.12166,.021640405,.0083595943,.029999999,0
2005,10,0,0,0,0,0,0
2005,11,0,.24188,-.013202215,.013202215,0,0
2005,12,-.005,.48448,-.028943727,.023943728,-.0049999999,0
2006,1,.025,-.28159,.027869653,-.0028696524,.025,0
2006,2,0,0,0,0,0,0
2006,3,.03,-.64595,.050257031,-.02025703,.029999999,0
2006,4,0,0,0,0,0,0
2006,5,.035,-.15511,.025966164,.0090338374,.035,0
2006,6,-.025,.49365,-.039444242,.014444241,-.025,0
2006,7,0,0,0,0,0,0
2006,8,-.035,-.26456,-.0030598734,-.031940125,0,-.035
2006,9,0,-.24016,.013108334,-.013108334,0,0
2006,10,-.005,-.03989,-.00032273718,-.0046772626,0,-.0049999999
2006,11,0,0,0,0,0,0
2006,12,-.005,.28273,-.017931875,.012931876,-.0049999999,0
2007,1,-.005,.52273,-.031031476,.026031476,-.0049999999,0
2007,2,0,0,0,0,0,0
2007,3,-.01501,.88763,-.055953328,.040943328,-.01501,0
2007,4,0,0,0,0,0,0
2007,5,.005,-.1418,.010239681,-.0052396809,.0049999999,0
2007,6,0,-.28916,.015782835,-.015782835,0,0
2007,7,0,0,0,0,0,0
2007,8,-.025,-.95973,.039883666,-.064883664,0,-.025
2007,9,-.17,1.33054,-.1576231,-.012376905,-.17,0
2007,10,.03,-.44209,.03913001,-.0091300104,.029999999,0
2007,11,0,0,0,0,0,0
2007,12,.03,-1.59674,.10215273,-.072152734,.029999999,0
2008,1,-.255,-.16869,-.11829261,-.13670738,0,-.255
2008,2,0,0,0,0,0,0
2008,3,.19,-1.05246,.15244502,.037554976,.19,0
2008,4,-.075,.31143,-.054498371,-.02050163,-.075000003,0
2008,5,0,0,0,0,0,0
2008,6,.015,.10337,.0018578928,.013142107,0,.015
2008,7,0,0,0,0,0,0
2008,8,-.03,.10375,-.020662848,-.0093371514,-.029999999,0
2008,9,.12,-.76838,.10193946,.018060537,.12,0
2008,10,-.05999,-2.61509,.11274098,-.17273098,0,-.05999
2008,11,0,0,0,0,0,0
2008,12,-.18501,1.71037,-.18585984,.00084985059,-.18501,0
2009,1,0,-.09395,.0051279478,-.0051279478,0,0
2009,2,0,0,0,0,0,0
2009,3,-.01,1.5276,-.088378958,.07837896,-.0099999998,0
2009,4,.005,.75174,-.038531225,.043531224,0,.0049999999
2009,5,0,0,0,0,0,0
2009,6,0,-.50384,.027500428,-.027500428,0,0
2009,7,0,0,0,0,0,0
2009,8,-.005,-.25911,.011642656,-.016642656,0,-.0049999999
2009,9,-.015,.63447,-.042130433,.027130432,-.015,0
2009,10,0,0,0,0,0,0
