year,month,day,eureon3m_hf,stoxx50_hf
2011,9,15,0.004500031,1.680889845
2011,10,6,0.117500067,-1.601217091
2011,11,3,-0.075999975,0.355740279
2011,11,30,-0.009000003,2.700930357
2011,12,8,-0.003499985,-1.602803767
2011,12,21,0.004000008,0.740919709
2012,1,12,0.003499955,-0.865690023
2012,2,9,0.001999974,-0.165930167
2012,2,28,-0.003499985,-0.053614985
2012,3,8,0.000499964,-0.243151225
2012,4,4,0.002499968,-0.272664919
2012,5,3,0.009499997,-0.74159985
2012,6,6,0.015500009,-0.228018239
2012,6,22,-0.000499994,0.623069286
2012,7,5,-0.089500025,-2.065799803
2012,8,2,0.019000001,-2.940997986
2012,9,6,0.002500005,1.153207034
2012,9,12,0,-0.036177989
2012,10,4,0.002999991,-0.075887486
2012,11,8,0.00850001,-0.025976999
2012,12,6,-0.004499998,0.071574114
2012,12,13,0,-0.049528122
2013,1,10,0.005999997,0.160612836
2013,2,7,-0.00850001,0.264107212
2013,3,7,0.002999999,-0.038663071
2013,3,22,-0.001999997,0.550677955
2013,4,4,0,-0.641835675
2013,5,2,-0.006499998,0.116900802
2013,6,6,0.005000003,-0.648588777
2013,7,4,-0.009999998,1.443380177
2013,8,1,0.004000001,0.074964758
2013,9,5,-0.000999987,0.12069802
2013,9,16,0,-0.115369596
2013,10,2,0.001500003,-0.239736654
2013,10,10,0.001000002,0.101639681
2013,11,7,-0.000499994,0.563226998
2013,12,5,0.008500002,-0.407133415
2014,1,9,-0.004500017,-0.125391688
2014,1,24,0.004499987,-0.191844374
2014,2,6,0.027499989,0.160621816
2014,3,6,0.035499975,-0.515457802
2014,4,3,0.016499981,0.730226852
2014,5,8,0.005999982,0.488024414
2014,6,5,-0.030000001,0.73465082
2014,6,17,0.003999999,-0.063352697
2014,7,3,-0.002999991,0.582739934
2014,8,7,0,-0.175629556
2014,9,4,-0.046500001,1.242689371
2014,10,2,0.002999999,-1.578130841
2014,11,6,-0.001499999,1.135032743
2014,12,4,-0.002,-2.005087405
2015,1,22,0.001049999,0.627978444
2015,3,5,-0.019000001,0.011363421
2015,4,15,0.001399994,0.153968129
2015,6,3,-0.000249997,-0.566294
2015,7,16,-0.000149995,0.044011723
2015,9,3,-0.000250012,1.117296554
2015,10,22,-0.009299994,2.213739716
2015,12,3,0.069650009,-3.697447419
2016,1,21,-0.011149973,-0.498078555
2016,3,10,0.033650011,1.240359485
2016,4,21,0.000499964,-0.173658252
2016,6,2,-0.00029999,-0.593437031
2016,7,21,-0.01275,0.140880693
2016,9,8,0.010050029,-0.875315398
2016,10,20,1.00E-04,0.300967753
2016,12,8,0.000799984,0.732860863
