,,,,
 Response of EQUITY:,,,,
 Period,EQUITY,USD,PMI,TRADE
 15, 0.062172,-0.069300, 0.196475, 0.070963
, (0.09352), (0.13632), (0.19654), (0.12567)
 16, 0.055395,-0.062012, 0.179832, 0.062469
, (0.08699), (0.12804), (0.19398), (0.11844)
 17, 0.048767,-0.053591, 0.162485, 0.055247
, (0.08168), (0.11944), (0.18944), (0.11089)
 18, 0.042359,-0.045017, 0.142646, 0.047810
, (0.07696), (0.11118), (0.18316), (0.10301)
 19, 0.036372,-0.038807, 0.123658, 0.041602
, (0.07260), (0.10345), (0.17609), (0.09507)
 20, 0.030754,-0.032854, 0.105846, 0.035482
, (0.06830), (0.09573), (0.16885), (0.08715)
 21, 0.025776,-0.027725, 0.089726, 0.029933
, (0.06405), (0.08814), (0.16182), (0.07930)
 22, 0.021713,-0.023831, 0.076161, 0.025049
, (0.05994), (0.08072), (0.15517), (0.07194)
 23, 0.018236,-0.020417, 0.064975, 0.020888
, (0.05602), (0.07324), (0.14885), (0.06522)
 24, 0.015532,-0.017421, 0.055828, 0.017403
, (0.05232), (0.06592), (0.14260), (0.05911)
,,,,
 Response of TRADE:,,,,
 Period,EQUITY,USD,PMI,TRADE
,,,,
 1, 0.249236,-0.147025, 0.295661, 1.339379
, (0.12912), (0.12772), (0.12586), (0.08793)
 2, 0.274877,-0.178602, 0.173323, 0.807270
, (0.16507), (0.16521), (0.16421), (0.14303)
 3, 0.318638,-0.248436, 0.381125, 0.958095
, (0.19561), (0.19366), (0.19261), (0.16362)
 4, 0.385745,-0.454177, 0.631661, 0.976612
, (0.23416), (0.22775), (0.22590), (0.18521)
 5, 0.331819,-0.467139, 0.429244, 0.960089
, (0.26533), (0.25730), (0.26213), (0.20562)
 6, 0.406711,-0.335034, 0.599515, 0.775511
, (0.28346), (0.27915), (0.28543), (0.22159)
 7, 0.369253,-0.507009, 0.571391, 0.729670
, (0.30411), (0.29623), (0.29352), (0.24237)
 8, 0.305236,-0.438927, 0.586116, 0.619520
, (0.29184), (0.30211), (0.30918), (0.24839)
 9, 0.274561,-0.373816, 0.510389, 0.464082
, (0.28213), (0.30858), (0.31645), (0.25725)
 10, 0.217816,-0.410953, 0.487345, 0.413506
, (0.27518), (0.30933), (0.31806), (0.26018)
 11, 0.172703,-0.325934, 0.420063, 0.292872
, (0.25433), (0.29592), (0.32219), (0.25594)
 12, 0.123176,-0.289850, 0.343290, 0.214033
, (0.22912), (0.28508), (0.32503), (0.24727)
 13, 0.087476,-0.264317, 0.289444, 0.152308
, (0.20786), (0.27187), (0.32745), (0.23794)
 14, 0.048236,-0.206893, 0.219716, 0.089279
, (0.18627), (0.25155), (0.32849), (0.22590)
 15, 0.026193,-0.164629, 0.163352, 0.045699
, (0.16360), (0.23234), (0.32639), (0.21033)
 16, 0.005864,-0.134862, 0.117496, 0.012399
, (0.14735), (0.21374), (0.32125), (0.19719)
 17,-0.011009,-0.095674, 0.078506,-0.011541
, (0.13183), (0.19054), (0.31258), (0.18173)
 18,-0.018682,-0.067801, 0.045300,-0.029789
, (0.11933), (0.17135), (0.30045), (0.16670)
 19,-0.024783,-0.047469, 0.021753,-0.037364
, (0.10975), (0.15367), (0.28635), (0.15301)
 20,-0.027562,-0.025020, 0.003831,-0.043325
, (0.10122), (0.13523), (0.27030), (0.13918)
 21,-0.027840,-0.011816,-0.010951,-0.044298
, (0.09421), (0.11970), (0.25301), (0.12621)
 22,-0.026629,-0.001069,-0.018945,-0.042216
, (0.08796), (0.10558), (0.23552), (0.11464)
 23,-0.024686, 0.007885,-0.025091,-0.039386
, (0.08193), (0.09179), (0.21775), (0.10397)
 24,-0.021886, 0.012301,-0.028206,-0.034784
, (0.07625), (0.08004), (0.20017), (0.09434)
,,,,
 Cholesky Ordering: EQUITY USD PMI TRADE,,,,
 Standard Errors: Analytic,,,,
,,,,
