,,,,
 Response of EQUITY:,,,,
 Period,EQUITY,USD,PMI,TRADE
, (0.26851), (0.19787), (0.14650), (0.27302)
 12, 0.610331, 0.024047, 0.062067, 0.006593
, (0.27085), (0.18770), (0.14035), (0.28370)
 13, 0.500848, 0.019957, 0.019356,-0.044104
, (0.27246), (0.17636), (0.13601), (0.29193)
 14, 0.394916, 0.032100,-0.000475,-0.088600
, (0.27347), (0.16239), (0.12880), (0.29577)
 15, 0.309269, 0.014928,-0.018036,-0.139936
, (0.27472), (0.14797), (0.12086), (0.29656)
 16, 0.237505, 0.005789,-0.020736,-0.148363
, (0.27528), (0.13357), (0.11212), (0.29460)
 17, 0.185717, 0.000372,-0.029536,-0.152152
, (0.27418), (0.11914), (0.10533), (0.29029)
 18, 0.131930,-0.007312,-0.041233,-0.151197
, (0.27200), (0.10499), (0.09949), (0.28318)
 19, 0.083082,-0.006254,-0.041723,-0.137117
, (0.26860), (0.09048), (0.09498), (0.27278)
 20, 0.047584,-0.012259,-0.038132,-0.127093
, (0.26382), (0.07819), (0.09055), (0.25975)
 21, 0.019949,-0.014685,-0.029529,-0.106085
, (0.25744), (0.06878), (0.08554), (0.24453)
 22, 0.004608,-0.010418,-0.019974,-0.080954
, (0.24898), (0.06059), (0.08085), (0.22816)
 23,-0.004240,-0.008359,-0.013131,-0.057567
, (0.23898), (0.05355), (0.07610), (0.21095)
 24,-0.007356,-0.004496,-0.004135,-0.029746
, (0.22801), (0.04710), (0.07140), (0.19308)
,,,,
 Response of TRADE:,,,,
 Period,EQUITY,USD,PMI,TRADE
,,,,
 1, 0.016906,-0.143683, 0.152119, 1.215484
, (0.11707), (0.11667), (0.11582), (0.08158)
 2, 0.292997, 0.040469, 0.285922, 0.717129
, (0.15025), (0.14217), (0.14410), (0.13961)
 3, 0.335662, 0.151667, 0.355543, 0.860977
, (0.17815), (0.17201), (0.17199), (0.16675)
 4, 0.391532, 0.306443, 0.639216, 1.133581
, (0.22252), (0.21284), (0.20416), (0.19269)
 5, 0.597119, 0.121814, 0.324799, 1.076806
, (0.25626), (0.23454), (0.22408), (0.23137)
 6, 0.710356, 0.223133, 0.526788, 1.175449
, (0.29346), (0.26449), (0.24166), (0.26012)
 7, 0.839090, 0.188226, 0.411914, 1.054714
, (0.32352), (0.29150), (0.23971), (0.29846)
 8, 0.887718, 0.129581, 0.372813, 0.944104
, (0.34200), (0.29609), (0.24656), (0.32485)
 9, 0.852955, 0.206347, 0.356623, 0.907611
, (0.36361), (0.30336), (0.24889), (0.35220)
 10, 0.871885, 0.157021, 0.271582, 0.622666
, (0.37841), (0.30484), (0.23554), (0.37612)
 11, 0.768106, 0.152754, 0.233549, 0.528711
, (0.38339), (0.29350), (0.22809), (0.39431)
 12, 0.738908, 0.139639, 0.168078, 0.368477
, (0.38984), (0.28314), (0.21122), (0.40878)
 13, 0.648106, 0.078315, 0.078621, 0.184211
, (0.39226), (0.26217), (0.19835), (0.41930)
 14, 0.530833, 0.081082, 0.031721, 0.079925
, (0.39346), (0.23673), (0.18360), (0.42448)
 15, 0.426861, 0.044089,-0.031038,-0.080931
, (0.39404), (0.21338), (0.16963), (0.42523)
 16, 0.291294, 0.012381,-0.077741,-0.184979
, (0.39413), (0.18584), (0.15898), (0.42089)
 17, 0.179628, 0.008909,-0.103064,-0.263038
, (0.39281), (0.16176), (0.15195), (0.41282)
 18, 0.073171,-0.021555,-0.138215,-0.342403
, (0.39082), (0.14219), (0.14780), (0.40208)
 19,-0.029149,-0.029827,-0.151452,-0.366418
, (0.38649), (0.12456), (0.14538), (0.38823)
 20,-0.104247,-0.040201,-0.158948,-0.384321
, (0.37889), (0.11373), (0.14579), (0.37355)
 21,-0.172082,-0.055730,-0.160324,-0.382813
, (0.36992), (0.10865), (0.14408), (0.35674)
 22,-0.221335,-0.053714,-0.147875,-0.352017
, (0.35775), (0.10695), (0.14293), (0.33977)
 23,-0.250718,-0.057083,-0.134570,-0.320984
, (0.34301), (0.10729), (0.14025), (0.32342)
 24,-0.268965,-0.054913,-0.115317,-0.271499
, (0.32630), (0.10809), (0.13498), (0.30772)
,,,,
 Cholesky Ordering: EQUITY USD PMI TRADE,,,,
 Standard Errors: Analytic,,,,
,,,,
