,Unnamed: 0,Date,GLOBAL FACTOR 1975-2010,GLOBAL FACTOR 1990-2012
144,,1987-01-01,49.19397109808704,
145,,1987-02-01,55.334530957818856,
146,,1987-03-01,57.043343152851754,
147,,1987-04-01,61.45903529541707,
148,,1987-05-01,67.37845019128719,
149,,1987-06-01,74.87710181539272,
150,,1987-07-01,87.27798906189282,
151,,1987-08-01,88.28154439956798,
152,,1987-09-01,94.75736426518807,
153,,1987-10-01,38.75861212661477,
154,,1987-11-01,31.05213450140344,
155,,1987-12-01,44.13993513507474,
156,,1988-01-01,41.860370502934245,
157,,1988-02-01,51.316972702322374,
158,,1988-03-01,53.43601465669737,
159,,1988-04-01,57.589058520980856,
160,,1988-05-01,55.231603040579614,
161,,1988-06-01,57.043210154790664,
162,,1988-07-01,56.65725196783327,
163,,1988-08-01,46.47002812455797,
164,,1988-09-01,46.612082507590785,
