,Unnamed: 0,Unnamed: 1,Global Factor Paper Version 1990:2012,Global Factor -- 1980:2019 - New Datalist
137,,1991-6,-1.0047899638254223,-0.42125889527691457
138,,1991-7,-0.7982734529489961,-0.2615596208555352
139,,1991-8,-0.7482561905365827,-0.29462207752957126
140,,1991-9,-0.8072434143641123,-0.26129151948178614
141,,1991-10,-0.7724529968489766,-0.2564039000691674
142,,1991-11,-1.0347491135669011,-0.5103023402539865
143,,1991-12,-0.6602434520577838,-0.43696701443923036
144,,1992-1,-0.582180119727448,-0.3871036491824066
145,,1992-2,-0.5798363058372809,-0.45065767296697107
146,,1992-3,-0.7593217644500021,-0.6029872145294858
147,,1992-4,-0.653188049887176,-0.416362198839023
148,,1992-5,-0.5547954649287997,-0.2809833374380814
149,,1992-6,-0.7370044439291384,-0.4157543015454216
150,,1992-7,-0.715519531860607,-0.5384073035214416
151,,1992-8,-0.8902444676526455,-0.6613198484427258
152,,1992-9,-0.9243238454900677,-0.7993996560089093
153,,1992-10,-0.9835182262907266,-0.9743476496225061
154,,1992-11,-0.8854055941166993,-0.9850334113613008
155,,1992-12,-0.7910149787873745,-0.8852165393844692
156,,1993-1,-0.7629625494678595,-0.8258809705732719
157,,1993-2,-0.7493001977056142,-0.7630073187316355
158,,1993-3,-0.5434568557729934,-0.5196423607163865
159,,1993-4,-0.5696744092126665,-0.3634180690579053
160,,1993-5,-0.4394848942447808,-0.2883229723532906
161,,1993-6,-0.5201422632018234,-0.3592626998340574
162,,1993-7,-0.5219693187285394,-0.2812424952921673
163,,1993-8,-0.2811555499763564,-0.11403468665126806
164,,1993-9,-0.3791484010846965,-0.1770138142296214
165,,1993-10,-0.2733387148384122,-0.04686414205142242
166,,1993-11,-0.42401046178867535,-0.1872153407668207
167,,1993-12,-0.15232264736976892,0.15480383327664732
168,,1994-1,0.06556952842583988,0.40683388541224913
169,,1994-2,-0.07537775914887368,0.2869660556770518
170,,1994-3,-0.3637600913114083,0.048643062362992776
171,,1994-4,-0.31395332204248594,0.11018605177896466
172,,1994-5,-0.3832556546238972,0.08176614664886749
173,,1994-6,-0.5201506205401315,-0.01325982631571584
174,,1994-7,-0.3616697482878463,0.10773928491338489
175,,1994-8,-0.17142818339831792,0.2098203290475203
176,,1994-9,-0.3179581732655838,0.14001383793500694
177,,1994-10,-0.21713270807217205,0.2729539872750308
178,,1994-11,-0.49731343884742646,0.035658399843332626
179,,1994-12,-0.5015361027044383,0.04253499717747806
180,,1995-1,-0.6041476754819072,-0.14277548735334847
181,,1995-2,-0.4383362202882653,-0.07067559301594961
182,,1995-3,-0.2659540674283744,0.08866140855790852
183,,1995-4,-0.144358065026426,0.17336342378006367
184,,1995-5,-0.03741747561207488,0.2482216030063202
185,,1995-6,0.023189009488955328,0.2706822400908013
186,,1995-7,0.2294990440161736,0.43511461843000365
187,,1995-8,0.13900557798377366,0.3598890467276407
188,,1995-9,0.20728292893762104,0.3982389977485715
189,,1995-10,0.0636270567213706,0.27567385295631613
190,,1995-11,0.1747045103973588,0.3302750595995314
191,,1995-12,0.23159610103727954,0.3992297519556847
192,,1996-1,0.3114026288571762,0.4161238178335341
193,,1996-2,0.36646901917277563,0.4616502731243613
194,,1996-3,0.42257951466703364,0.5066658851045216
195,,1996-4,0.534572755233672,0.6454218586584093
196,,1996-5,0.5748730675249473,0.6670868182008319
197,,1996-6,0.502834052358197,0.5958337688371901
198,,1996-7,0.1601205123768941,0.42267240453030397
199,,1996-8,0.31638219753797847,0.5560579287970616
200,,1996-9,0.4879537455831644,0.6108320740505594
201,,1996-10,0.5161579278108817,0.6853065730943975
202,,1996-11,0.8404467629025565,0.9041875219639175
203,,1996-12,0.7774704230648989,0.9369587565076947
204,,1997-1,0.8566177928181858,0.9625435899037912
205,,1997-2,0.8277362708984519,0.9844729556461002
206,,1997-3,0.7292227287484022,0.9242440674579344
207,,1997-4,0.8221808722447874,0.9557639429311937
208,,1997-5,1.1434738981188912,1.1934772988878166
209,,1997-6,1.321971957541758,1.2757566313291036
210,,1997-7,1.6138016423852715,1.430374493357793
211,,1997-8,1.386177600107526,1.3189134351022946
212,,1997-9,1.639685699145736,1.5231729214422087
213,,1997-10,1.2595661633865094,1.1775750175550834
214,,1997-11,1.2711143782895034,1.0596842266127042
215,,1997-12,1.2743653968752708,1.020254356722481
216,,1998-1,1.2066719818403613,0.9160513886346318
217,,1998-2,1.5390050900417571,1.1667336922999219
218,,1998-3,1.7462719786038448,1.2810167592347572
219,,1998-4,1.7620969004227147,1.3334733590683858
220,,1998-5,1.5435280770115722,1.1202680447944453
221,,1998-6,1.3879726770515484,0.868936687655764
222,,1998-7,1.0843571959589633,0.629308796638512
223,,1998-8,0.03821341911611526,-0.191651801615946
224,,1998-9,0.28871502309715624,-0.0565755744616131
225,,1998-10,0.7285358300623096,0.2102512721238273
226,,1998-11,0.8387096144826671,0.29656003323344476
227,,1998-12,0.8882663797507235,0.24973597269709435
228,,1999-1,0.7637635544278746,0.18334693876767896
229,,1999-2,0.5859774528460359,0.14684119275192697
230,,1999-3,0.7920645770209411,0.36631234684304903
231,,1999-4,1.2799649737138743,0.7615483250587429
232,,1999-5,1.1074782399990268,0.6023150401363908
233,,1999-6,1.2844621275106298,0.763237171720046
234,,1999-7,1.214065633464603,0.7632296555689733
235,,1999-8,1.1343672139511267,0.802191791429227
236,,1999-9,0.879744252068208,0.6776937205105455
237,,1999-10,0.8181817257671751,0.5975723281098231
238,,1999-11,0.7324600005897908,0.6252500038477684
239,,1999-12,0.9296973997198974,0.8172420744284787
240,,2000-1,0.4573754134286121,0.5428766093226866
241,,2000-2,0.07060990654185856,0.36049868597342966
242,,2000-3,0.5351367000759947,0.5841177199759015
243,,2000-4,0.505820122070936,0.5310814798475914
244,,2000-5,0.49327594444779094,0.4205925028994273
245,,2000-6,0.402808745375949,0.47729381523631437
246,,2000-7,0.29946153264498404,0.4390877047081323
247,,2000-8,0.4457316789406969,0.6103896152460188
248,,2000-9,0.22959045759441785,0.4153733629935899
249,,2000-10,0.23898884748993798,0.2512265047230112
250,,2000-11,0.1332878282327948,0.14190558445424786
251,,2000-12,0.5019649245052147,0.37811338541173534
252,,2001-1,0.5053837465009655,0.4663565539085251
253,,2001-2,0.3498736386243587,0.33278538732028273
254,,2001-3,0.026634300573907168,0.09796516205867926
255,,2001-4,0.3729572360831799,0.3338194038169466
256,,2001-5,0.40171213235906145,0.3831059315660518
257,,2001-6,0.18367557337926502,0.2512298584611395
258,,2001-7,0.12647571438130656,0.14899177384228351
259,,2001-8,0.006627947712492211,0.07981720336211882
260,,2001-9,-0.7654281587880981,-0.5590086557801012
261,,2001-10,-0.6071767717524461,-0.4468079646638657
262,,2001-11,-0.2687598927615876,-0.18302946095805803
263,,2001-12,-0.1318940688005078,-0.08243209163908724
264,,2002-1,-0.15175811589515487,-0.08430567185677149
265,,2002-2,-0.0742742358802896,-0.018164881560376534
266,,2002-3,0.19415112731534287,0.20937684052220004
267,,2002-4,0.13010911984039372,0.2123243528986214
268,,2002-5,0.13299815277933877,0.23411455880876916
269,,2002-6,-0.13908310071245225,0.009151418160630585
270,,2002-7,-0.7926316254143654,-0.3914314512746791
271,,2002-8,-0.820531563368376,-0.3799549852340046
272,,2002-9,-1.4091057738261157,-0.7311384956944773
273,,2002-10,-1.2265003661526,-0.7090995730874236
274,,2002-11,-0.9234718778116763,-0.4588742623174992
275,,2002-12,-1.1015785975219674,-0.5465501582955145
276,,2003-1,-1.315854339608765,-0.670035100197753
277,,2003-2,-1.4691807364280178,-0.7307255008132482
278,,2003-3,-1.5242752097407966,-0.7950876769598816
279,,2003-4,-1.1269023499179607,-0.5488603016103208
280,,2003-5,-0.7597790973176318,-0.2677989762897338
281,,2003-6,-0.7408476290831573,-0.19433797921580195
282,,2003-7,-0.5969189647152487,-0.08599461780129947
283,,2003-8,-0.4218676125603055,0.09626812030489974
284,,2003-9,-0.5032251813317712,0.10494476826770091
285,,2003-10,-0.1561108051994626,0.36859657114567307
286,,2003-11,-0.06482816109138465,0.41177901058492844
287,,2003-12,0.2802831477381342,0.6607904486273944
288,,2004-1,0.23771492404914585,0.6842315174816646
289,,2004-2,0.37248856095255306,0.8187169642964539
290,,2004-3,0.3074033513730901,0.8186546130767015
291,,2004-4,0.16807837413046933,0.633669213071893
292,,2004-5,0.23264969854304576,0.6589830616196065
293,,2004-6,0.3640196172965343,0.7620039813911812
294,,2004-7,0.1786318120974793,0.7172231830305468
295,,2004-8,0.1348049121725179,0.7349578983069738
296,,2004-9,0.3077195618792705,0.9071100295989457
297,,2004-10,0.37066645939878157,0.9807656011197794
298,,2004-11,0.7197282615134968,1.2138367512299861
299,,2004-12,0.8496321047768063,1.3128372649455087
300,,2005-1,0.6963801308156606,1.208677245939613
301,,2005-2,0.9231336958970683,1.4094422954168868
302,,2005-3,0.7726721524711522,1.2684603488539163
303,,2005-4,0.5093863094501914,1.117004693413111
304,,2005-5,0.5956121180736631,1.1874333658720715
305,,2005-6,0.6254639612862355,1.2707892382512234
306,,2005-7,0.8737590286552784,1.4242222051428166
307,,2005-8,0.8435108213359876,1.4729235201821895
308,,2005-9,0.9064566445132793,1.5723140116183503
309,,2005-10,0.6591162882298904,1.363784255853013
310,,2005-11,0.8332324367778785,1.516095641723609
311,,2005-12,0.8822839641807529,1.6222479793763225
312,,2006-1,1.1777396517324885,1.899996785701389
313,,2006-2,1.1085291014160836,1.8776407436900022
314,,2006-3,1.230699621827195,1.9711628411313016
315,,2006-4,1.4088843974953589,2.1239188885268576
316,,2006-5,1.2054366332299398,1.9331236366690006
317,,2006-6,1.1360373757558386,1.8778377216745386
318,,2006-7,1.051887423522502,1.8846538265375463
319,,2006-8,1.1308676484423092,1.949415974373832
320,,2006-9,1.1427750144069133,1.943162481214078
321,,2006-10,1.3422465875336964,2.1430934464208513
322,,2006-11,1.502118275906216,2.292596030799014
323,,2006-12,1.5199116915236386,2.3619307525906765
324,,2007-1,1.5532529026979986,2.363990925098076
325,,2007-2,1.5125916641459602,2.337838789067614
326,,2007-3,1.6267204691779429,2.4306865222516896
327,,2007-4,1.8626646548364145,2.5879611979855786
328,,2007-5,2.048304659413267,2.750283231423523
329,,2007-6,2.0021940512043623,2.7039486341226846
330,,2007-7,1.8694851667112218,2.6239022705911306
331,,2007-8,1.7842889403770474,2.534207138058105
332,,2007-9,1.992202722563203,2.7094198918258323
333,,2007-10,2.116332436359906,2.8548011898354417
334,,2007-11,1.785133247627582,2.486807118227129
335,,2007-12,1.7349617615762258,2.4318340586599305
336,,2008-1,1.263369319710247,2.0401599973978013
337,,2008-2,1.3223575078690695,2.1497942209960184
338,,2008-3,1.272459006487138,2.008882593896332
339,,2008-4,1.5125470606033606,2.236434469855464
340,,2008-5,1.6540466148989765,2.281287340009026
341,,2008-6,1.1439962749735821,1.8856341874714635
342,,2008-7,0.8905572183630432,1.6004481441376759
343,,2008-8,0.8177896075399785,1.5005902019482287
344,,2008-9,-0.09098482615784159,0.6083706454122944
345,,2008-10,-1.7374172776613386,-1.123442675765662
346,,2008-11,-2.3384310797475654,-1.693017718032656
347,,2008-12,-2.1801381987600257,-1.7049393551817467
348,,2009-1,-2.7621120042631437,-2.1376360152201443
349,,2009-2,-3.4249284556745985,-2.694133241311621
350,,2009-3,-2.958837079598294,-2.3837403863706794
351,,2009-4,-2.08751164667914,-1.350104477531918
352,,2009-5,-1.6473585950720449,-0.7677622438145778
353,,2009-6,-1.7937427551488438,-0.8601890573019384
354,,2009-7,-1.2543913322359943,-0.3086016842730932
355,,2009-8,-1.072977212379383,-0.10113553948095441
356,,2009-9,-0.8359667045649171,0.13896360783087175
357,,2009-10,-0.9559419790962667,0.11227519748564412
358,,2009-11,-0.7260780022870332,0.20701108324715362
359,,2009-12,-0.5391381651640279,0.3861363660692919
360,,2010-1,-0.8554788125443268,0.18660571692663308
361,,2010-2,-0.7832240183124906,0.18240977152150087
362,,2010-3,-0.43759073841023427,0.49091927276165637
363,,2010-4,-0.39142712021116094,0.5739858140450433
364,,2010-5,-1.0465206465644026,0.02336780975767571
365,,2010-6,-1.397126397638725,-0.17227554718882906
366,,2010-7,-0.9153339774726946,0.2756755282988744
367,,2010-8,-1.245598587064978,0.05952610433553532
368,,2010-9,-0.6160825496409816,0.4972615999396784
369,,2010-10,-0.418805262031245,0.6581029110784625
370,,2010-11,-0.5240630012794082,0.5803530317019265
371,,2010-12,-0.08725157239628718,0.9335880495494592
372,,2011-1,-0.02549534747763466,1.0275497953488473
373,,2011-2,0.11783278058810723,1.1372851833186148
